"id","day","wd","minute10","W"
423,3,5,135,505
424,3,5,136,474
425,3,5,137,478
426,3,5,138,460
427,3,5,139,440.5
428,3,5,140,405
429,3,5,141,382.5
430,3,5,142,377.5
431,3,5,143,364.5
432,3,5,144,344.5
433,4,6,1,356
434,4,6,2,339.5
435,4,6,3,326
436,4,6,4,311
437,4,6,5,303
438,4,6,6,296.5
439,4,6,7,289.5
440,4,6,8,273.5
441,4,6,9,257
442,4,6,10,243
443,4,6,11,239
444,4,6,12,234.5
445,4,6,13,232
446,4,6,14,206
447,4,6,15,210
448,4,6,16,215.5
449,4,6,17,221.5
450,4,6,18,219
451,4,6,19,209
452,4,6,20,209
453,4,6,21,204
454,4,6,22,197
455,4,6,23,196.5
456,4,6,24,194.5
457,4,6,25,199
458,4,6,26,185.5
459,4,6,27,185.5
460,4,6,28,190.5
461,4,6,29,191.5
462,4,6,30,183
463,4,6,31,188
464,4,6,32,180
465,4,6,33,181
466,4,6,34,178.5
467,4,6,35,186.5
468,4,6,36,194
469,4,6,37,197.5
470,4,6,38,189
471,4,6,39,189.5
472,4,6,40,195
473,4,6,41,209
474,4,6,42,226
475,4,6,43,244.5
476,4,6,44,261.5
477,4,6,45,266.5
478,4,6,46,276
479,4,6,47,288
480,4,6,48,303
481,4,6,49,304.5
482,4,6,50,319
483,4,6,51,318
484,4,6,52,337.5
485,4,6,53,355.5
486,4,6,54,362
487,4,6,55,356.5
488,4,6,56,386.5
489,4,6,57,363
490,4,6,58,414
491,4,6,59,419.5
492,4,6,60,434
493,4,6,61,415.5
494,4,6,62,401.5
495,4,6,63,402
496,4,6,64,443
497,4,6,65,413
498,4,6,66,453.5
499,4,6,67,450
500,4,6,68,459
501,4,6,69,492
502,4,6,70,508.5
503,4,6,71,509.5
504,4,6,72,492.5
505,4,6,73,500.5
506,4,6,74,498.5
507,4,6,75,475
508,4,6,76,461.5
509,4,6,77,468
510,4,6,78,498.5
511,4,6,79,494.5
512,4,6,80,504
513,4,6,81,543
514,4,6,82,515.5
515,4,6,83,475
516,4,6,84,454.5
517,4,6,85,485
518,4,6,86,496.5
519,4,6,87,478
520,4,6,88,501.5
521,4,6,89,488.5
522,4,6,90,486.5
523,4,6,91,474
524,4,6,92,458.5
525,4,6,93,487
526,4,6,94,451.5
527,4,6,95,450.5
528,4,6,96,466
529,4,6,97,454
530,4,6,98,470
531,4,6,99,472.5
532,4,6,100,510
533,4,6,101,573.5
534,4,6,102,568
535,4,6,103,557
