Time,AutWd,AutSat,AutSun,HsrWd,HsrSat,HsrSun,SmrWd,SmrSat,SmrSun,SprWd,SprSat,SprSun,WtrWd,WtrSat,WtrSun
0.44,25.5,15.25,6.31,23.68,15.53,6.24,23.63,15.01,6.63,25.08,16.74,7.64,30.09,17.73,9.93
0.46,25.76,15.42,6.95,24.07,15.82,6.77,23.84,15.1,6.88,25.14,16.59,8.16,30.19,17.84,10.07
0.48,25.78,15.4,7.38,24.22,15.93,6.99,24.1,15.34,7.19,25.26,16.44,8.17,30.32,17.73,10.34
0.50,25.68,15.05,7.42,24.22,15.62,6.84,24.14,14.98,7.21,25.26,15.86,8.35,30.32,17.4,10.47
0.52,25.56,13.8,7.32,24.13,14.59,6.93,24.13,13.94,7.12,25.04,14.95,8.31,30.08,16.36,10.52
0.54,25.2,12.9,7.22,23.9,13.12,6.83,23.9,13.08,6.94,24.81,14.04,7.97,29.51,15.41,10.49
0.56,24.91,12.53,6.93,23.72,12.94,6.7,23.53,12.56,6.76,24.15,13.38,7.62,29.21,14.76,10.32
0.58,24.73,12.47,6.93,23.74,12.75,6.6,23.34,12.15,6.66,23.95,13.08,7.45,29.27,14.53,10.3
0.60,24.76,12.02,6.79,23.77,12.53,6.6,23.49,11.94,6.64,24.16,12.69,7.31,29.1,14.31,10.19
0.63,24.57,11.88,6.75,23.73,12.46,6.58,23.45,11.9,6.66,23.88,12.42,7.4,28.82,14.01,10.07
0.65,24.45,11.67,6.66,23.57,12.42,6.55,23.46,12.14,6.57,23.72,12.53,7.13,28.54,13.88,9.79
0.67,23.91,11.46,6.59,23.22,12.32,6.43,22.9,11.93,6.38,22.98,12.3,6.97,27.92,13.64,9.56
0.69,23.02,10.89,6.35,22.47,11.91,6.29,21.92,11.52,6.3,22.28,11.72,6.87,26.97,13.1,8.76
0.71,21.74,10.64,6.19,21.25,11.48,6.26,20.69,11.05,6.12,21.17,11.54,6.71,25.14,12.63,8.21
0.73,18.89,10.01,5.78,18.78,11,6.03,18.24,10.42,5.95,18.84,11.09,6.53,22.15,12.23,7.8
0.75,14.51,8.3,5.18,14.45,8.86,5.35,14.18,8.49,5.49,14.9,9.11,5.93,17.72,10.55,7.04
0.77,11.05,6.71,5.12,10.9,7.39,5.05,10.77,6.95,5.16,11.31,7.61,5.86,13.49,8.27,6.6
0.79,9.26,6.14,5.24,8.94,6.33,5.1,8.82,6.11,4.97,9.32,6.59,5.64,11.02,7.53,6.59
0.81,8.05,5.71,5.31,7.57,5.21,5.01,7.45,5.26,4.83,7.76,5.8,5.47,9.42,7.23,6.8
0.83,7.28,5.34,5.41,6.57,5,4.9,6.47,4.97,4.79,6.96,5.55,5.59,8.27,7.03,6.66
0.85,7.11,5.46,5.67,6.26,5,5.3,6.23,4.86,5.26,6.92,5.63,6.09,7.94,6.85,6.85
0.88,7.03,5.34,5.83,6.45,4.99,5.59,6.16,4.8,5.33,6.85,5.72,6.14,7.82,6.83,7.06
0.90,6.64,5.26,5.41,6.32,5.06,5.44,6.05,4.91,5.16,6.9,5.63,6.05,7.49,6.73,6.87
0.92,6.45,5.18,5.26,6.37,4.91,5.52,6.07,5.02,5.3,6.63,5.56,5.94,7.36,6.63,6.83
0.94,6.02,4.91,5.34,6.06,4.76,5.19,5.71,4.84,5.07,6.3,5.48,5.65,7.26,6.48,6.68
0.96,5.84,4.72,5.14,5.92,4.63,5.07,5.58,4.7,4.94,6.17,5.32,5.66,7.08,6.25,6.63
0.98,5.62,4.81,4.99,5.83,4.71,5.12,5.52,4.88,5,6.06,5.5,5.63,7.03,6.35,6.48
0.00,5.55,4.72,4.91,5.69,4.61,4.85,5.46,4.64,4.9,5.87,5.22,5.6,6.99,6.43,6.43
