Time,AutWd,AutSat,AutSun,HsrWd,HsrSat,HsrSun,SmrWd,SmrSat,SmrSun,SprWd,SprSat,SprSun,WtrWd,WtrSat,WtrSun
0.40,17.75,6.87,2.66,12.19,5.78,2.36,15.73,6.16,2.31,17.33,7.81,3.29,21.67,9.8,3.38
0.42,18.01,6.73,2.72,12.32,5.68,2.45,16.09,5.9,2.48,17.69,7.65,3.57,22.14,9.6,3.59
0.44,18.03,6.47,2.75,12.11,5.37,2.53,16.15,5.66,2.68,17.49,7.04,3.4,22.04,9.34,3.68
0.46,18.36,6.47,2.77,12.58,5.92,2.44,16.84,5.96,2.64,18.09,7.04,3.44,22.44,9.37,3.8
0.48,19.06,6.28,2.79,13.41,5.71,2.49,18.08,5.96,2.71,18.97,7.16,3.41,22.77,9.02,3.8
0.50,19.1,5.61,2.55,13.43,4.92,2.16,18.06,5.21,2.66,19.1,6.52,3.36,22.84,8.43,3.74
0.52,18.18,4.83,2.49,12.46,4.38,2.05,16.9,4.58,2.44,17.76,5.54,3.09,22.17,7.75,3.63
0.54,17.02,4.47,2.38,11.72,4.32,1.99,15.77,4.41,2.37,16.8,5.1,3.09,21.16,7.01,3.39
0.56,17.09,4.32,2.25,12.16,4.15,1.94,15.87,4.24,2.42,16.92,4.97,3.25,20.95,6.52,3.29
0.58,16.72,4.36,2.21,12.28,4.13,1.91,15.58,4.27,2.32,16.79,4.82,3.11,20.56,6.15,3.22
0.60,16.24,4.34,2.18,12.27,4,1.93,15.33,4.11,2.3,16.44,4.75,3,20.42,6.01,3.23
0.63,15.89,4.16,2.24,12.1,4.13,1.93,14.9,4.18,2.27,16.01,4.78,2.99,19.96,5.9,3.24
0.65,14.88,4.06,2.05,11.45,4.02,1.84,13.91,4.05,2.21,14.95,4.61,2.82,18.93,5.65,3.16
0.67,14.51,3.96,2.09,11.31,3.9,1.86,13.42,3.9,2.31,14.31,4.51,2.98,18.54,5.48,3.08
0.69,13.33,3.95,2.02,10.43,3.82,1.88,12.17,3.8,2.24,13.01,4.22,2.7,17.36,5.16,2.94
0.71,10.4,3.7,1.87,8.01,3.73,1.82,9.3,3.75,2.16,10.2,3.98,2.6,14.78,4.91,2.78
0.73,8.03,3.54,1.93,6.53,3.47,1.79,7.29,3.58,1.97,8,3.78,2.42,11.9,4.88,2.9
0.75,5.61,3.25,1.99,4.63,3.11,1.86,4.9,3.14,2.2,5.65,3.36,2.82,8.79,4.39,3.07
0.77,4.66,2.99,2.22,3.88,2.73,2.34,3.93,2.78,2.69,4.55,3.19,2.7,7.13,3.92,3.25
0.79,4.4,3.07,2.9,3.47,2.54,2.36,3.7,2.81,2.67,4.09,3.21,2.87,6.3,3.69,3.48
0.81,4.56,3.16,2.89,3.01,1.84,2.22,3.12,2,2.34,3.72,2.93,2.91,5.79,3.5,3.21
0.83,4.12,3.01,2.82,2.81,1.8,2.22,2.79,1.91,2.35,3.63,2.53,2.77,5.09,3.28,3.19
0.85,3.56,2.62,2.91,2.75,1.78,2,2.66,1.95,2.08,3.51,2.59,2.56,4.53,2.87,3.09
0.88,3.65,2.64,2.58,2.92,1.8,2.03,2.87,2.04,2.08,3.68,2.48,2.61,4.46,2.78,3.03
0.90,3.23,2.89,2.58,2.82,2.11,2.3,2.69,2.2,2.39,3.37,2.54,2.84,4.1,2.71,3.04
0.92,2.98,2.63,2.55,2.69,1.99,2.36,2.65,2.27,2.68,3.39,2.55,3.49,3.93,2.65,2.97
0.94,3.02,2.53,2.81,2.98,2.01,2.44,3.04,2.34,2.49,3.42,2.5,2.84,3.87,2.61,2.93
0.96,3.04,2.64,2.8,3.05,2.13,2.36,3.03,2.5,2.58,3.41,2.51,2.95,3.7,2.68,3
0.98,2.98,2.62,2.72,2.93,2.08,2.15,2.9,2.55,2.31,3.2,2.55,3.18,3.41,2.82,2.86
0.00,2.94,2.55,2.55,2.82,1.91,2.25,2.86,2.28,2.52,3.35,2.78,3.15,3.58,2.93,3.2
